"","CD_C1_H.Gene","CD_C1_H.CD_C1_H","CD_C2_H.CD_C2_H","CD_C3_H.CD_C3_H","CD_HS1_H.CD_HS1_H","CD_HS2_H.CD_HS2_H","CD_HS3_H.CD_HS3_H"
"19844","MARS1",0,0,0,0,0,0
"19845","MARS2",0,174,0,22,0,2
"19846","MARVELD1",7,980,15,0,0,38
"19847","MARVELD2",0,43,0,3,0,0
"19848","MARVELD3",0,73,3,0,6,4
"19849","MASP1",1,261,3,17,0,37
"19850","MASP2",0,0,0,0,0,0
"19851","MAST1",0,123,10,0,0,5
"19852","MAST2",0,579,12,19,4,37
"19853","MAST3",4,632,4,0,20,27
"19854","MAST4",1,561,0,0,3,28
"19855","MASTL",0,109,0,15,3,0
"19856","MAT1A",0,613,5,14,0,10
"19857","MAT2A",6,728,17,0,6,31
"19858","MAT2B",2,550,56,3,8,23
"19859","MATK",0,47,0,0,0,9
"19860","MATN1",0,0,0,0,0,0
"19861","MATN2",9,393,8,0,7,14
"19862","MATN4",0,0,0,0,0,0
"19863","MATR3",36,4334,92,101,55,117
"19864","MAU2",6,990,0,25,19,23
"19865","MAVS",0,493,0,0,4,8
"19866","MAX",1,42,0,0,0,6
"19867","MAZ",0,167,0,0,0,1
"19868","MB",108,18771,162,174,265,356
"19869","MB21D2",0,0,0,0,0,2
"19870","MBD1",0,0,0,0,0,0
"19871","MBD2",0,160,0,0,3,19
"19872","MBD3",9,1209,30,6,16,40
"19873","MBD4",14,746,7,19,5,37
"19874","MBD5",0,0,0,0,0,0
"19875","MBD6",2,109,0,4,0,3
"19876","MBLAC1",0,0,0,0,0,0
"19877","MBLAC2",4,92,0,8,8,0
"19878","MBNL1",1,2107,4,0,23,30
"19879","MBNL2",2,369,0,0,5,2
"19880","MBNL3",0,100,5,0,0,3
"19881","MBOAT1",0,1,0,0,0,1
"19882","MBOAT2",0,335,0,36,0,4
"19883","MBOAT4",0,17,0,0,0,0
"19884","MBTD1",1,299,8,9,6,2
"19885","MBTPS1",4,521,23,22,5,27
"19886","MBTPS2",0,157,6,0,1,0
"19887","MC1R",0,0,0,0,0,0
"19888","MC2R",0,0,0,0,0,0
"19889","MC3R",0,0,0,0,0,0
"19890","MC4R",0,0,0,0,0,0
"19891","MC5R",5,170,0,0,2,0
"19892","MCAM",0,0,0,0,0,0
"19893","MCAT",1,351,0,6,3,5
"19894","MCC",0,484,0,0,17,19
"19895","MCCC1",6,560,2,0,5,11
"19896","MCCC2",14,1583,24,48,16,33
"19897","MCEE",2,0,0,0,0,18
"19898","MCF2",0,33,0,0,0,0
"19899","MCF2L",0,186,0,0,0,4
"19900","MCF2L2",0,11,0,0,0,0
"19901","MCFD2",9,1468,15,63,6,36
"19902","MCHR1",0,0,0,0,0,0
"19903","MCHR2",0,0,0,0,0,0
"19904","MCIDAS",0,0,0,0,0,0
"19905","MCL1",5,674,8,28,28,36
"19906","MCM10",7,133,13,0,8,10
"19907","MCM2",2,552,2,0,10,23
"19908","MCM3",18,1351,12,8,7,65
"19909","MCM5",10,554,20,1,5,59
"19910","MCM6",0,0,0,0,0,0
"19911","MCM7",0,23,0,0,0,0
"19912","MCM8",0,166,0,0,4,3
"19913","MCM9",6,321,0,0,0,13
"19914","MCMDC2",0,0,0,0,0,0
"19915","MCOLN1",0,0,0,0,0,6
"19916","MCOLN2",0,9,0,0,0,0
"19917","MCOLN3",0,0,0,0,0,0
"19918","MCPH1",0,63,0,0,0,0
"19919","MCRIP1",0,340,0,40,1,26
"19920","MCRIP2",0,104,0,0,0,0
"19921","MCRS1",0,0,0,0,0,0
"19922","MCTP1",0,0,0,0,0,0
"19923","MCTP2",5,1230,1,29,15,38
"19924","MCTS1",2,323,0,0,0,13
"19925","MCU",3,554,6,1,3,33
"19926","MCUB",2,193,7,0,0,8
"19927","MCUR1",6,696,1,28,8,25
"19928","MDC1",0,366,0,0,7,11
"19929","MDFI",0,0,0,0,0,0
"19930","MDFIC",2,352,0,0,3,0
"19931","MDFIC2",0,0,0,0,0,0
"19932","MDGA1",0,3,0,0,0,0
"19933","MDGA2",1,292,0,0,3,8
"19934","MDH1",71,10136,60,87,90,333
"19935","MDH1B",0,0,0,0,0,0
"19936","MDH2",0,0,0,0,0,0
"19937","MDK",13,1532,42,21,19,118
"19938","MDM1",0,277,14,0,4,20
"19939","MDM2",10,615,12,13,1,20
"19940","MDM4",0,64,0,0,0,5
"19941","MDN1",3,678,0,7,4,35
"19942","ME1",0,123,0,0,0,2
"19943","ME2",17,1980,3,6,28,72
"19944","ME3",21,1371,13,1,11,42
"19945","MEA1",1,347,0,5,4,4
"19946","MEAF6",0,0,0,0,0,0
"19947","MEAK7",14,120,7,0,8,3
"19948","MECOM",0,400,6,0,0,15
"19949","MECR",0,0,0,10,0,0
"19950","MED1",3,349,3,0,1,23
"19951","MED10",0,399,33,0,7,15
"19952","MED12",0,761,10,0,8,13
"19953","MED12L",0,0,0,0,0,0
"19954","MED13",0,1,0,0,0,1
"19955","MED13L",5,654,20,0,1,8
"19956","MED14",8,344,0,0,0,5
"19957","MED15",2,729,5,2,16,43
"19958","MED16",3,217,0,0,0,24
"19959","MED17",10,701,5,31,20,43
"19960","MED18",0,0,0,0,0,0
"19961","MED19",24,858,12,72,12,61
"19962","MED20",0,0,0,0,0,0
"19963","MED21",2,334,6,30,1,9
"19964","MED22",4,615,1,0,6,19
"19965","MED23",2,78,0,0,2,0
"19966","MED24",2,323,27,0,3,15
"19967","MED26",0,201,0,0,0,15
"19968","MED27",3,474,0,36,2,3
"19969","MED28",0,39,0,0,1,6
"19970","MED29",0,0,0,0,0,0
"19971","MED30",4,98,0,0,0,3
"19972","MED31",0,0,0,0,0,0
"19973","MED4",7,248,11,0,1,8
"19974","MED6",4,304,12,0,10,13
"19975","MED7",0,357,0,12,6,14
"19976","MED8",10,277,24,0,9,5
"19977","MED9",0,0,0,0,0,0
"19978","MEDAG",0,125,0,0,0,6
"19979","MEF2A",0,0,0,0,0,0
"19980","MEF2B",0,43,0,0,0,0
"19981","MEF2C",22,4871,121,25,45,108
